district,date,pm2p5,temp_min,temp_mean,temp_max,utci,total_rainfall,greenness,n_raindays
Moshi,2021-06-01,15.6192307655628,16.0918715,21.04457157,25.99727163,22.4437037037037,12,0.5296867703021987,2
Moshi,2021-07-01,18.3038461024945,15.7929181,20.91567187,26.03842563,25.0044444444444,18.7,0.432508979,3
Moshi,2021-08-01,16.8557691940895,17.41484127,21.53770979,25.6605783,27.7931481481482,12.3,0.435423507,2
Moshi,2021-09-01,15.282692359044,17.75021597,22.68773371,27.62525145,30.9506481481481,5.4,0.439990344,2
Moshi,2021-10-01,19.6480769377488,19.40501103,24.69983759,29.99466416,32.3983333333333,20,0.442665341,3
Moshi,2021-11-01,20.9326923443721,20.85357183,25.93375074,31.01392964,31.9862962962963,72.4,0.439974899,2
Moshi,2021-12-01,38.3115381827721,21.75323394,25.81318997,29.87314599,29.9678703703704,96.7,0.444571692,1
Siha,2015-01-01,17.3540447107075,14.95862508,21.54335845,28.12809183,29.5558368376787,24.2,0.455414251,1
Siha,2015-02-01,13.7662650681199,15.76282599,22.55822334,29.35362068,30.2934188393609,49.6,0.457803701,4
Siha,2015-03-01,19.1328743394599,15.771126,22.40764693,29.04416786,29.8226492851134,83.5,0.48188345,4
Siha,2015-04-01,15.0488812648491,16.56076971,22.68791278,28.81505586,25.5031286795627,222.7,0.5027886,8
Siha,2015-05-01,13.0619621145541,15.67169372,20.97360953,26.27552535,21.5185323801514,75.5,0.597737822,1
Siha,2015-06-01,16.0218588916037,14.41193591,19.74945344,25.08697098,22.883717409588,10.2,0.595123588,2
Siha,2015-07-01,14.3929432164781,13.17325818,18.38006403,23.58686988,23.3924936921783,0,0.514703187,0
Siha,2015-08-01,9.29896730646209,13.19922064,19.58932044,25.97942024,26.0677502102608,0,0.437286275,0
Siha,2015-09-01,11.4592082865677,13.79412888,20.63556516,27.47700145,29.7181286795628,0,0.423638858,0
Siha,2015-10-01,18.3091221955475,16.61120952,22.89911724,29.18702496,30.3361732548358,25.6,0.409011386,1
Siha,2015-11-01,18.0098106545138,16.83288985,22.815032,28.79717414,27.0591589571067,104.1,0.431684583,10
Siha,2015-12-01,23.0516351282904,15.24153818,20.96536991,26.68920163,27.9539066442389,107.1,0.35451646,3
Siha,2016-01-01,18.6175559071789,17.03126641,22.55611127,28.08095612,27.9924558452481,96.3,0.570199256,8
Siha,2016-02-01,15.8987952050161,16.28621393,22.83151075,29.37680756,29.4376745164003,32.2,0.581403724,4
Siha,2016-03-01,18.6206540798772,17.31483152,24.06988566,30.82493979,30.6402481076536,58.8,0.533113894,2
Siha,2016-04-01,13.5970739948975,16.24820549,21.93106063,27.61391577,22.6898864592094,150.3,0.53693901,6
Siha,2016-05-01,13.9638554200453,15.3751273,20.23289037,25.09065343,22.979709840202,60.8,0.573459746,7
Siha,2016-06-01,6.72667814080769,14.12307361,19.61970936,25.11634511,22.248428320471824,9.7,0.553451578,2
Siha,2016-07-01,21.6030980732273,13.51126848,19.13132759,24.75138669,23.6342556770396,0,0.515449759,0
Siha,2016-08-01,11.3025817674121,13.315322,18.83331047,24.35129895,24.7592935239697,0,0.493356458,0
Siha,2016-09-01,9.03907054960215,13.246622,20.28056699,27.31451198,28.3900967199328,0,0.453287736,0
Siha,2016-10-01,13.9624784653445,15.92803888,22.38952444,28.85100999,30.6924852817494,25.8,0.377523365,4
Siha,2016-11-01,19.2586919059031,15.5835788,22.19836603,28.81315326,25.6749957947855,106,0.392271713,10
Siha,2016-12-01,27.082788267152,14.67440035,21.39436151,28.11432268,29.0747434819175,50.2,0.4164439,1
Siha,2017-01-01,11.901549055326,14.23154143,21.96067317,29.6898049,30.5804962153069,65,0.471837245,1
Siha,2017-02-01,16.6053357247436,16.27939535,22.48793918,28.69648302,29.1602270815812,56.1,0.470857932,7
Siha,2017-03-01,19.0910498738904,16.25950531,22.23175939,28.20401346,28.243637510513,50.8,0.483272335,6
Siha,2017-04-01,19.586574895862,16.18179284,22.49316221,28.80453159,22.9076619007569,92.9,0.487115449,10
Siha,2017-05-01,14.8578313246446,15.43407123,19.95329842,24.47252561,21.8925946173255,66.7,0.464827832,1
Siha,2017-06-01,8.30757315023425,13.59349323,18.99487816,24.39626309,22.1822792262405,6.9,0.47217413,2
Siha,2017-07-01,16.5277108407472,13.52571406,19.27645484,25.02719561,23.0146257359125,0,0.50244007,0
Siha,2017-08-01,9.42237519643393,14.55935566,20.15764339,25.75593112,25.819739276703,0,0.472692233,0
Siha,2017-09-01,8.66419965100576,14.09942582,20.10856188,26.11769793,29.3027081581161,7.8,0.468491659,2
Siha,2017-10-01,14.0643717787147,14.9495478,21.57018021,28.19081262,30.7423675357443,18.1,0.475525627,3
Siha,2017-11-01,23.2387263483517,15.04738535,20.86217494,26.67696453,25.4294365012615,154.4,0.523133237,2
Siha,2017-12-01,32.5208260278488,15.12289376,21.38582601,27.64875825,27.8275820016821,47.9,0.559073933,6
Siha,2018-01-01,19.8733218483588,14.79189198,21.23353939,27.6751868,28.3058452481077,94.9,0.599317518,5
Siha,2018-02-01,13.7049913488444,16.40080596,22.85018447,29.29956298,29.8901597981497,32.2,0.584362548,2
Siha,2018-03-01,22.6392426745206,15.88912514,21.02066157,26.15219799,25.1382506307821,245.4,0.582802152,19
Siha,2018-04-01,19.43631670356,16.54634951,21.82972378,27.11309806,15.0612068965517,231.6,0.5730012980501631,10
Siha,2018-05-01,13.5523236187723,15.06698363,19.81066093,24.55433824,20.7508578637511,50.2,0.5467423921431214,6
Siha,2018-06-01,13.338037894638,14.38166482,18.69852204,23.01537926,21.3531707317073,12.5,0.5011801003628149,2
Siha,2018-07-01,17.3795180591577,13.67533932,18.57913158,23.48292384,22.0737216148024,0,0.44011969,0
Siha,2018-08-01,11.8549053549972,13.56367016,19.34080782,25.11794549,24.1236206896551,1.4,0.471988253,0
Siha,2018-09-01,14.0475043019411,13.37422497,19.15374148,24.93325799,27.1609756097561,7.1,0.465373142,2
Siha,2018-10-01,22.2664371759674,15.27114072,21.27856406,27.2859874,27.029142136249,45.8,0.456339011,6
Siha,2018-11-01,21.8018932670816,15.70832991,21.8295663,27.9508027,27.2809503784694,80.8,0.471884074,9
Siha,2018-12-01,29.7974182233958,16.14723206,21.74075002,27.33426799,25.7420563498739,149.3,0.468135114,6
Siha,2019-01-01,19.4576591780592,15.02955301,21.75281496,28.47607691,27.8551009251472,68.2,0.5358319,8
Siha,2019-02-01,17.0103270584868,16.20793681,22.76823416,29.32853152,29.9917367535744,49.5,0.560552309,2
Siha,2019-03-01,16.6733218798744,16.22979249,23.15638471,30.08297693,31.0156560134565,31.3,0.521224135,3
Siha,2019-04-01,11.7609294064074,17.21818546,23.22165165,29.22511784,27.8967619848612,121.9,0.512111952,6
Siha,2019-05-01,15.693287434143,16.35040574,21.18527318,26.02014061,22.5068418839361,74.7,0.510910463,8
Siha,2019-06-01,9.40636833440416,15.13584215,19.58254814,24.02925414,22.0501471825063,9.9,0.507508798,2
Siha,2019-07-01,21.9621342283108,13.80775199,19.28181274,24.75587349,23.5504373423044,8.8,0.484173812,2
Siha,2019-08-01,15.2084337372378,14.49446556,19.87237759,25.25028962,25.9992388561817,0,0.467636744,0
Siha,2019-09-01,11.4390705653599,14.62778219,20.87144952,27.11511685,28.7968418839362,0,0.467228155,0
Siha,2019-10-01,16.8709122104612,15.89616135,21.62185243,27.34754351,22.7406938603869,65.5,0.489908948,3
Siha,2019-11-01,23.7025817733213,16.46820932,22.27108539,28.07396146,24.2673170731706,192.8,0.587896547,10
Siha,2019-12-01,39.838037868375,16.54110208,20.59121898,24.64133588,23.0297014297728,198.5,0.664248784,9
Siha,2020-01-01,22.7149741719389,15.60345646,21.54714523,27.49083401,24.5174390243903,141.6,0.696438472,7
Siha,2020-02-01,21.3838210376733,15.60221822,21.86037729,28.11853637,25.763456686291,51.4,0.680791594,3
Siha,2020-03-01,23.6261617854212,16.53001831,22.13996353,27.74990876,25.1195332211943,176.4,0.663394131,15
Siha,2020-04-01,22.7870912568294,16.25335463,21.78106299,27.30877136,20.7218250630782,206.8,0.668826792,10
Siha,2020-05-01,12.3185886376491,15.26844468,19.88433995,24.50023523,21.8313582842725,41.8,0.614482241,5
Siha,2020-06-01,14.6549053257796,14.73127436,19.58781047,24.44434659,22.0404499579479,5.9,0.389573401,1
Siha,2020-07-01,21.8351118938032,14.04477996,19.37500992,24.70523987,21.1098065601345,4.6,0.552905591,1
Siha,2020-08-01,17.8929432296096,14.00886656,19.70794761,25.40702866,24.7619343986544,0,0.525488394,0
Siha,2020-09-01,11.4643717764167,14.26312386,20.5386065,26.81408915,28.728519764508,1.7,0.511837683,0
Siha,2020-10-01,18.4323579965483,15.63542834,22.04043496,28.44544159,29.2120269133726,16.3,0.495956585,4
Siha,2020-11-01,25.4175559157143,16.23953154,22.41996817,28.60040481,25.2848402018503,145.7,0.498018274,5
Siha,2020-12-01,31.9168675073043,14.88404907,21.43270925,27.98136943,26.8426366694701,77.2,0.563882653,2
Siha,2021-01-01,23.1144578149109,14.76233159,21.38162103,28.00091048,27.4467788057191,99.7419234263435,0.564896912,5
Siha,2021-02-01,14.2425128982728,16.33986,22.44430686,28.54875371,27.2093566021867,89.2751573324971,0.589123848,5
Siha,2021-03-01,18.4423408196428,15.39316828,22.45062494,29.5080816,27.8284608915055,147.21173963401034,0.616479269,8
Siha,2021-04-01,18.2282272443919,16.44626589,22.06131742,27.67636894,21.6896257359125,206.61573941302538,0.618951711,9
Siha,2021-05-01,13.3314973844308,15.45146336,20.36709054,25.28271772,18.8415349032801,90.15925505233622,0.581115239,5
Siha,2021-06-01,17.558691889817,14.03196561,19.63017068,25.22837575,21.1242430613961,12.947597575772813,0.560366786,2
Siha,2021-07-01,15.4383820715952,13.63165024,19.42054638,25.20944252,22.0171825063078,1.6198527755116257,0.516769471,0
Siha,2021-08-01,13.6261618001941,13.64030122,18.92283444,24.20536765,25.806291000841,0.5598289751513391,0.500277268,0
Siha,2021-09-01,14.2695352862911,14.23787199,20.32572881,26.41358564,29.242544154752,2.988772819533326,0.466116089,1
Siha,2021-10-01,17.1836488727038,14.5357565,21.65258666,28.76941681,29.5883599663582,41.68278560600278,0.468679981,3
Siha,2021-11-01,21.7829604025757,16.03591167,23.03860474,30.04129781,29.0943187552565,157.56603709185146,0.491184881,7
Siha,2021-12-01,33.9196213937257,16.6425883,22.21134761,27.78010692,24.9209756097562,159.6759894531014,0.513522974,5
