"","District","value.ID","value.O3_column_number_density","month","year","o3"
"303","moshi",1,119174.203125,"02","2019","O3"
"304","moshi",1,119188.703125,"02","2019","O3"
"305","moshi",1,119188.703125,"02","2019","O3"
"306","moshi",1,118969.328125,"02","2019","O3"
"307","moshi",1,119023.703125,"02","2019","O3"
"308","moshi",1,119031.859375,"02","2019","O3"
"309","moshi",1,119039.9765625,"02","2019","O3"
"310","moshi",1,118913.7890625,"02","2019","O3"
"311","moshi",1,118980.1171875,"02","2019","O3"
"312","moshi",1,119420.9765625,"02","2019","O3"
"313","moshi",1,119433.609375,"02","2019","O3"
"314","moshi",1,119365.71875,"02","2019","O3"
"315","moshi",1,119475.75,"02","2019","O3"
"316","moshi",1,119475.75,"02","2019","O3"
"317","moshi",1,119146.4375,"02","2019","O3"
"318","moshi",1,119266.6171875,"02","2019","O3"
"319","moshi",1,119322.0703125,"02","2019","O3"
"320","moshi",1,119346.2109375,"02","2019","O3"
"321","moshi",1,119018.4453125,"02","2019","O3"
"322","moshi",1,119396.359375,"02","2019","O3"
"323","moshi",1,119420.9765625,"02","2019","O3"
"324","moshi",1,119433.609375,"02","2019","O3"
"325","moshi",1,119365.71875,"02","2019","O3"
"326","moshi",1,119475.75,"02","2019","O3"
"327","moshi",1,119475.75,"02","2019","O3"
"328","moshi",1,119146.4375,"02","2019","O3"
"329","moshi",1,119266.6171875,"02","2019","O3"
"330","moshi",1,119322.0703125,"02","2019","O3"
"331","moshi",1,119346.2109375,"02","2019","O3"
"332","moshi",1,119018.4453125,"02","2019","O3"
"333","moshi",1,119852.0390625,"02","2019","O3"
"334","moshi",1,119650.265625,"02","2019","O3"
"335","moshi",1,119627.671875,"02","2019","O3"
"336","moshi",1,119627.671875,"02","2019","O3"
"337","moshi",1,119551.3515625,"02","2019","O3"
"338","moshi",1,119848.9296875,"02","2019","O3"
"339","moshi",1,119664.421875,"02","2019","O3"
"340","moshi",1,119664.421875,"02","2019","O3"
"341","moshi",1,119624.0390625,"02","2019","O3"
"342","moshi",1,119624.0390625,"02","2019","O3"
"343","moshi",1,120489.7890625,"03","2019","O3"
"344","moshi",1,120454.9609375,"03","2019","O3"
"345","moshi",1,120602.578125,"03","2019","O3"
"346","moshi",1,120586.0390625,"03","2019","O3"
"347","moshi",1,120586.0390625,"03","2019","O3"
"348","moshi",1,120602.578125,"03","2019","O3"
"349","moshi",1,120732.2265625,"03","2019","O3"
"350","moshi",1,120911.6328125,"03","2019","O3"
"351","moshi",1,120732.2265625,"03","2019","O3"
"352","moshi",1,120732.2265625,"03","2019","O3"
"353","moshi",1,120857.1015625,"03","2019","O3"
"354","moshi",1,121097.0390625,"03","2019","O3"
"355","moshi",1,120849.0234375,"03","2019","O3"
"356","moshi",1,120813.96875,"03","2019","O3"
"357","moshi",1,121259.046875,"03","2019","O3"
"358","moshi",1,121226.890625,"03","2019","O3"
"359","moshi",1,121378.9453125,"03","2019","O3"
"360","moshi",1,121409.1796875,"03","2019","O3"
"361","moshi",1,121331.3515625,"03","2019","O3"
"362","moshi",1,121331.3515625,"03","2019","O3"
"363","moshi",1,121168.046875,"03","2019","O3"
"364","moshi",1,121136.5234375,"03","2019","O3"
"365","moshi",1,121136.5234375,"03","2019","O3"
"366","moshi",1,120901.4453125,"03","2019","O3"
"367","moshi",1,120770.78125,"03","2019","O3"
"368","moshi",1,120725.59375,"03","2019","O3"
"369","moshi",1,121432.296875,"03","2019","O3"
"370","moshi",1,121432.296875,"03","2019","O3"
"371","moshi",1,121331.3515625,"03","2019","O3"
"372","moshi",1,121331.3515625,"03","2019","O3"
"373","moshi",1,121331.3515625,"03","2019","O3"
"374","moshi",1,121331.3515625,"03","2019","O3"
"375","moshi",1,121324.8984375,"03","2019","O3"
"376","moshi",1,121201.078125,"03","2019","O3"
"377","moshi",1,120991.7734375,"03","2019","O3"
"378","moshi",1,120813.96875,"03","2019","O3"
"379","moshi",1,120731.75,"03","2019","O3"
"380","moshi",1,121432.296875,"03","2019","O3"
"381","moshi",1,121432.296875,"03","2019","O3"
"382","moshi",1,121331.3515625,"03","2019","O3"
"383","moshi",1,121331.3515625,"03","2019","O3"
"384","moshi",1,121331.3515625,"03","2019","O3"
"385","moshi",1,121331.3515625,"03","2019","O3"
"386","moshi",1,121324.8984375,"03","2019","O3"
"387","moshi",1,121201.078125,"03","2019","O3"
"388","moshi",1,120991.7734375,"03","2019","O3"
"389","moshi",1,120813.96875,"03","2019","O3"
"390","moshi",1,121172.8984375,"03","2019","O3"
"391","moshi",1,121093.0390625,"03","2019","O3"
"392","moshi",1,121331.3515625,"03","2019","O3"
"393","moshi",1,121331.3515625,"03","2019","O3"
"394","moshi",1,121144.953125,"03","2019","O3"
"395","moshi",1,120970.6484375,"03","2019","O3"
"396","moshi",1,121164.65625,"03","2019","O3"
"397","moshi",1,121164.65625,"03","2019","O3"
"398","moshi",1,121094.1015625,"03","2019","O3"
"399","moshi",1,121106.9765625,"03","2019","O3"
"400","moshi",1,119970.21875,"04","2019","O3"
"401","moshi",1,119950.515625,"04","2019","O3"
"402","moshi",1,120356.4453125,"04","2019","O3"
"403","moshi",1,120472.0625,"04","2019","O3"
"404","moshi",1,120472.0625,"04","2019","O3"
"405","moshi",1,120425.9140625,"04","2019","O3"
"406","moshi",1,120325.4296875,"04","2019","O3"
"407","moshi",1,120363.4296875,"04","2019","O3"
"408","moshi",1,120493.3203125,"04","2019","O3"
"409","moshi",1,120493.3203125,"04","2019","O3"
"410","moshi",1,120410.3515625,"04","2019","O3"
